no,name,categories,target_sector,specialities,certifications,about_importers,company,company_url,company_attributes,pavilion,booth,exhibited_products,show,image_url,product_url
7114,Buzz Honey Pure Australian Raw Honey (85g / 320g / 360g / 500g / Gift set),"Spreads, Honey & Jams","Food retailers, supermarkets, health food retailers, department stores, imported food retailers","Buzz Honey prides itself on preserving the unique flavour of raw honey by cold-pressing extraction without the use of chemicals. This allows us to maintain the natural enzymes and positive health-giving properties of raw, non-heat-treated honey. | Products are available from 85g-500g, gift sets and kids honey designed with mild taste for children.",,We don't have an importer,"BIG PICTURE INTERNATIONAL, Inc.",https://item.rakuten.co.jp/bpihotsky/c/0000000184/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Government of South Australia,National Pavilion,E3-L18-00,"We will feature a broad array of high quality foods and beverages from South Australia including raw and Manuka honeys, white, red and sparkling wines, oatmeal and several varieties of gin.",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_7114.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=7114
7115,DATEMAGURO®,Seafood,"High-end sushi restaurants, restaurants, hotels, mass merchandisers, events","This tuna was featured on NHK's Professional. It is exported to more than 10 countries around the world. | As a flagship exporting region, we are working together from the producer to processing and exporting. | Sold as GG or loin.",US-HACCP | FDA | GMP | Aquaculture Eco-Label(AEL),We don't have an importer,"Tsuji Suisan Co., Ltd.",https://www.youtube.com/watch?v=aJOp1a0KouA,"Japan exhibitors | Exportable | Co-exhibitor | Organizer : Ehime Prefecture Agriculture, Commerce and Industry Exhibition Executive Committee / Uwajima City / Yawatahama City / Ozu City / Seiyo City",Local Specialities in Japan,S2-Q09-00,"Pacific bluefin tuna ,Kawakawa ,Red seabream ,Yellowtail ,White trevally",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_7115.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=7115
7125,Rice Sausage,Frozen Ready Meals | Finger Food | Rice,"Rice Sausage, Rice, Taiwan,",Traditional Taiwanese snack | Unique product,ISO22000 | Other HACCP,We have an importer,"BLACK BRIDGE FOOD CO., LTD",https://www.blackbridge.com.tw/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Taiwan External Trade Development Council,National Pavilion,E5-A02-00,"Taiwanese Sausage | Best selling brand, Taiwan cuisine, snack, meal.",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=7125
7146,Barramundi,Frozen Seafood | Seafood | Processed seafood products,"Seafood importers and wholesalers | Food service distributors | Restaurants (Western, Japanese fusion, hotel dining) | Ready-to-eat / ready-to-cook meal manufacturers | Retail chains and premium supermarkets","Mild, clean flavor suitable for a wide range of cuisines | Firm texture with good moisture retention after cooking | Uniform size and weight for stable cost control | High fillet yield with minimal trimming loss | Aquaculture-based, ensuring stable year-round supply | Processed under HACCP-based food safety systems | Full traceability and export-ready documentation for Japan | Available in fillet or slice formats to improve kitchen efficiency",ISO22000 | GMP,,FORTUNE LIFE ENTERPRISE,https://www.en.fortunelife.com.tw/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Taiwan External Trade Development Council,National Pavilion,E5-A30-129,"Tilapia Filet, Tilapia Slice, Barramundi Filet, Barramundi Slice, Sakura Shrimp, Taiwan Fish Nugget, Shrimp Roll",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_7146.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=7146
7161,Brown Rice Miso,Miso,・People who want to incorporate Japanese fermented foods into their daily lives for their own health. | ・People seeking the umami of Japanese cuisine. | ・People who want to pay attention to package design.,"This made with Fukuoka-grown rice, Fukuoka-grown soybeans, and coarse salt from Ako, this Evis Miso is a meticulously crafted miso with a focus on flavor. | Aged for six months, which is two to three times longer than usual, to bring out the richness of Fukuoka's local ingredients. | Among the Ebisu Miso varieties, this miso has the lowest salt content. | The robust umami makes it suitable for simple miso soup with tofu and green onions or soups like ramen.",ISO22000,We don't have an importer,test,http://www.misoyanokitchen.com,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Fukuoka Chamber of Commerce and Industry,Exports from Japan,S1-C06-00,"Miso, Organic Miso, Miso-processed products, Seasonings, Brown Rice Miso,Barley Miso | |",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_7161.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=7161
7222,Zen no Karanma - Green chili pepper miso with chirimenjako (dried young sardines),Miso,People who like miso and spicy food.Health-conscious people,"The miso, umami, spiciness and sweetness spread throughout your mouth, making this a dish that goes well with meat, fish, vegetables and other ingredients, and can be eaten and cooked in a variety of ways.",,We have an importer,ZEN,,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Osaka mon / Osaka mon Meihin,Exports from Japan,S1-R04-00,Zen no Karanma Green Chilli Miso / dried young sardines | Zen no Karanma Green Chilli Miso / dried young sardines / Local miso Kinki 6Pack,FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_7222.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=7222
7225,Zen no Karanma green chili pepper miso Ehime version of local miso with chirimenjako (dried young sardines),Miso,People who like miso and spicy food.Health-conscious people,"Based on the recipe for our main product, we made it with Japanese ingredients. | Kyoto Miso uses barley miso from Marumasa syouyu (Since 1928) in Ainan Town. | The miso, umami, spiciness and sweetness spread throughout your mouth, making this a dish that goes well with meat, fish, vegetables and other ingredients, and can be eaten and cooked in a variety of ways.",,We don't have an importer,ZEN,,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Osaka mon / Osaka mon Meihin,Exports from Japan,S1-R04-00,Zen no Karanma Green Chilli Miso / dried young sardines | Zen no Karanma Green Chilli Miso / dried young sardines / Local miso Kinki 6Pack,FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_7225.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=7225
7226,Zen no Karanma green chili pepper miso Osaka version of local miso with chirimenjako (dried young sardines),Miso,People who like miso and spicy food.Health-conscious people,"Based on the recipe for our main product, we made it with Japanese ingredients. | Kyoto Miso uses black bean miso from Katayama Shoten (Since 1968) in Kameoka City. | The miso, umami, spiciness and sweetness spread throughout your mouth, making this a dish that goes well with meat, fish, vegetables and other ingredients, and can be eaten and cooked in a variety of ways.",,We don't have an importer,ZEN,,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Osaka mon / Osaka mon Meihin,Exports from Japan,S1-R04-00,Zen no Karanma Green Chilli Miso / dried young sardines | Zen no Karanma Green Chilli Miso / dried young sardines / Local miso Kinki 6Pack,FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_7226.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=7226
7227,Kinako kibidango 10 pieses,Japanese sweets,"souvenir shops, sweets store, supermarkets","A soft and chewy rice cake with a slight sweetness. | Made with fragrant Japanese kinako or roasted soybean flour. | The cute wrapping paper with Momotaro, dog, monkey, pheasant, and ogre makes it easy to distribute. Open the peach package and the story of Momotaro begins. | The product package is based on the motif of the representative Japanese story ""Momotaro"". |",Other HACCP,We don't have an importer,"Yamagata Eijudo Co., Ltd.",https://www.eijudo.co.jp/,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Okayama Prefectural Industrial Promotion Foundation,Local Specialities in Japan,S2-K18-15,"sweet ""mochi"" named ""kibidango"" |",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_7227.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=7227
7237,Contract Freeze-Drying Services,"Dried Fruits | Supplements | Health & Wellness Products | Frozen Fruit & Vegetables | Dried Fruit & Vegetables | Packaging | Sanitary | Refrigeration and Cooling Equipment | Food Preparation Equipment | Food Manufacturing Equipment | Professional Services | Ready-to-eat Foods, Sealed Packaged Foods (e.g., curry, rice bowl toppings)","Food manufacturers, Ingredient suppliers, Snack & functional food brands, Private label buyers, Importers / distributors","High nutrient retention, Stable, lightweight products, Consistent quality, Scalable volumes","Canadian Food Inspection Agency (CFIA), Health Canada, Safe Quality Food (SQF)",,Novem Canada,https://novemcanada.com,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Agriculture and Agri-Food Canada,National Pavilion,E4-A03-046,"OEM & Co-Packaging, Contract Freeze-Drying Services, R&D Test Kitchen and Product Development, Milling Powder Processing and Functional Blends, Custom Ingredient & Finished Product Solutions",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_7237.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=7237
7248,Green Beans,Comprehensive Logistics | Japan Domestic Logistics | Import to Japan Support | Export from Japan Support | Warehousing | Others | Fresh Fruit & Vegetables | Frozen Fruit & Vegetables | Vegetarian | Vegan | Organic Products | Vegetable snacks | Pulses,"Markets, restaurants, bars, factories.",Fresh,FDA | USDA Organic Certification,,RYS Kokusai Trade,https://rys.mx/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : MEXICO,National Pavilion,E4-C18-007,"Fresh Persian Lime, Fresh Mango, Fresh Berries, Fresh Bell Pepper, Concentrated Mango Puree",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=7248
7249,Agave syrup,"Baked Goods | Comprehensive Logistics | Cakes / Dessert | Japan Domestic Logistics | Bread | Import to Japan Support | Japanese sweets | Export from Japan Support | Gluten-free | Warehousing | Others | Chocolate | Candy | Carbonated Soft Drinks | Coffee | Energy Drinks | Flavoured Water | Instant Beverages | Juice | Non-alcoholic Beverages | Smoothies | Tea | Liquid Seasoning | Yoghurt (NULLRegular, Flavoured, Fruit, etc.) | Fortified & Functional Products | Protein Drink | Supplements | Health & Wellness Products | Ice Cream / Sorbet Gelato | Vegetarian | Vegan | Halal | Kosher | Organic Products | Cereals / Fruit Bars | Spreads, Honey & Jams | Plant-based / Alternative Foods | Health drinks","Market, restaurant, bar, factory.","Organic, Functional Sweeteners",ISO22000 | Other HACCP | HALAL | FDA | GAP | Organic JAS Mark | USDA Organic Certification | EU Organic Certification,,RYS Kokusai Trade,https://rys.mx/,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : MEXICO,National Pavilion,E4-C18-007,"Fresh Persian Lime, Fresh Mango, Fresh Berries, Fresh Bell Pepper, Concentrated Mango Puree",FOODEX JAPAN 2026 / 2026 Japan Meat Industry Fair 50th,,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=7249
7269,Soul Diva Bubbly Moscato Rosa,Sparkling wines | Dessert wines | Low-alcoholic wines,"National Distributor, Hotels, Restaurant, Bars, Clubs, Supermarket, Retail Chain, Food Service Distribution","affordable premium sparkling wine, premium packaging,",,We have an importer,Litharian,https://litharianwines.com.au,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Government of South Australia,National Pavilion,E3-L18-00,"Soul Diva Bubbly Rose, Soul Diva Bubbly Moscato Rosa, Bella Eve Sparkling Shiraz, Bella Eve Bubbly Pink Moscato, Litharian Great Serpent Cabernet Sauvignon, Bella Eve Sparkling Chardonnay Pinot Noir, Litharian Great Serpent Barossa Valley Shiraz",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_173730494792.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=7269
7270,Bella Eve Bubbly Pink Moscato,Sparkling wines | Dessert wines | Low-alcoholic wines,"HORECA, hotels, restaurants, bars, clubs, supermarket, retail","affordable sparkling moscato, affordable sweet sparkling wine, Wine of Australia, premium sparkling wine",,We have an importer,Litharian,https://litharianwines.com.au,Overseas exhibitors | Exportable | Co-exhibitor | Organizer : Government of South Australia,National Pavilion,E3-L18-00,"Soul Diva Bubbly Rose, Soul Diva Bubbly Moscato Rosa, Bella Eve Sparkling Shiraz, Bella Eve Bubbly Pink Moscato, Litharian Great Serpent Cabernet Sauvignon, Bella Eve Sparkling Chardonnay Pinot Noir, Litharian Great Serpent Barossa Valley Shiraz",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_7270.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=7270
7292,misoya no kitchen Dip Miso series,Miso | Liquid Seasoning,People who are interested in traditional Japanese food and fermented foods. | Or chefs who want to easily incorporate Japanese fermented foods into their own cooking.,"Each product is carefully handmade, aiming to become a standard in everyday households, suitable for various dishes. | | Ex1: ""Deep-Tomato Miso"" | Just dissolve in hot water, and you'll have delicious miso soup in no time! Made with Kyushu-produced barley miso as a base, combined with tomatoes. It can be used as pasta sauce, spread on bread with cheese for pizza toast, or poured over omelets. | | Ex2: ""Green Plum Miso"" | Based on white miso, it features the sourness and fragrance of plums. Suitable for seaweed salad or as a replacement for hot mustard vinegar miso. | | Example: ""Sesame & Aosa Miso"" | Based on Akadashi miso, it combines sesame and green seaweed. It can be paired with rice like a condiment or used as a dipping sauce for dumplings with chili oil. | | Example: ""Moromi Yuzu Pepper"" | A spicy moromi miso infused with locally produced yuzu pepper from Kyushu, perfect as a snack. Enjoy it on vegetables or with piping hot rice. | | *All products are packaged in a user-friendly spout for easy use in daily life.",ISO22000,We don't have an importer,test,http://www.misoyanokitchen.com,Japan exhibitors | Exportable | Co-exhibitor | Organizer : Fukuoka Chamber of Commerce and Industry,Exports from Japan,S1-C06-00,"Miso, Organic Miso, Miso-processed products, Seasonings, Brown Rice Miso,Barley Miso | |",FOODEX JAPAN 2025 / 2025 Japan Meat Industry Fair 49th,https://www.jma-tradeshow.com/foodex/webguide_en/datafile/product_image1_7292.jpg,https://www.jma-tradeshow.com/foodex/webguide_en/product.php?no=7292
